group_name	cluster_id	seed_short_label	n_members	n_matched_fastas	n_missing	combined_fasta
SMF_RN33	1	domain_RN33	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN33/SMF_RN33.fasta
SMF_R0	2	domain_R0	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_R0/SMF_R0.fasta
SMF_RN29	3	domain_RN29	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN29/SMF_RN29.fasta
SMF_RC36	4	domain_RC36	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC36/SMF_RC36.fasta
SMF_RN2	5	domain_RN2	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN2/SMF_RN2.fasta
SMF_RN1	6	domain_RN1	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN1/SMF_RN1.fasta
SMF_RN26	7	domain_RN26	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN26/SMF_RN26.fasta
SMF_RN21	8	domain_RN21	3	3	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN21/SMF_RN21.fasta
SMF_RC28	9	domain_RC28	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC28/SMF_RC28.fasta
SMF_RN28	10	domain_RN28	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN28/SMF_RN28.fasta
SMF_RC8	11	domain_RC8	3	3	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC8/SMF_RC8.fasta
SMF_RN20	12	domain_RN20	3	3	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN20/SMF_RN20.fasta
SMF_RN27	13	domain_RN27	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN27/SMF_RN27.fasta
SMF_RC1	14	domain_RC1	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC1/SMF_RC1.fasta
SMF_RN31	15	domain_RN31	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN31/SMF_RN31.fasta
SMF_RC5	16	domain_RC5	3	3	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC5/SMF_RC5.fasta
SMF_RC26	17	domain_RC26	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC26/SMF_RC26.fasta
SMF_RC31	18	domain_RC31	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC31/SMF_RC31.fasta
SMF_RC7	19	domain_RC7	3	3	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC7/SMF_RC7.fasta
SMF_RC4	20	domain_RC4	3	3	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC4/SMF_RC4.fasta
SMF_RC25	21	domain_RC25	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC25/SMF_RC25.fasta
SMF_RN34	22	domain_RN34	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN34/SMF_RN34.fasta
SMF_RC9	23	domain_RC9	3	3	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RC9/SMF_RC9.fasta
SMF_RN32	24	domain_RN32	1	1	0	/Users/shulei/Documents/2026_Chemotaxis/sprb_domains/grouped_for_hmm_blosum62/grouped_fastas/SMF_RN32/SMF_RN32.fasta
