order_index	sequence_id_full	sequence_id_short	cluster
0	domain_RN35	domain_RN35	45
1	domain_RN34	domain_RN34	22
2	domain_RN33	domain_RN33	1
3	domain_RN32	domain_RN32	24
4	domain_RN31	domain_RN31	15
5	domain_RN30	domain_RN30	41
6	domain_RN29	domain_RN29	3
7	domain_RN28	domain_RN28	10
8	domain_RN27	domain_RN27	13
9	domain_RN26	domain_RN26	7
10	domain_RN25	domain_RN25	39
11	domain_RN24	domain_RN24	30
12	domain_RN23	domain_RN23	27
13	domain_RN22	domain_RN22	37
14	domain_RN21	domain_RN21	8
15	domain_RN20	domain_RN20	12
16	domain_RN19	domain_RN19	32
17	domain_RN18	domain_RN18	38
18	domain_RN17	domain_RN17	29
19	domain_RN16	domain_RN16	27
20	domain_RN15	domain_RN15	37
21	domain_RN14	domain_RN14	8
22	domain_RN13	domain_RN13	12
23	domain_RN12	domain_RN12	32
24	domain_RN11	domain_RN11	38
25	domain_RN10	domain_RN10	29
26	domain_RN9	domain_RN9	27
27	domain_RN8	domain_RN8	37
28	domain_RN7	domain_RN7	8
29	domain_RN6	domain_RN6	12
30	domain_RN5	domain_RN5	32
31	domain_RN4	domain_RN4	38
32	domain_RN3	domain_RN3	31
33	domain_RN2	domain_RN2	5
34	domain_RN1	domain_RN1	6
35	domain_R0	domain_R0	2
36	domain_RC1	domain_RC1	14
37	domain_RC2	domain_RC2	25
38	domain_RC3	domain_RC3	26
39	domain_RC4	domain_RC4	20
40	domain_RC5	domain_RC5	16
41	domain_RC6	domain_RC6	36
42	domain_RC7	domain_RC7	19
43	domain_RC8	domain_RC8	11
44	domain_RC9	domain_RC9	23
45	domain_RC10	domain_RC10	26
46	domain_RC11	domain_RC11	20
47	domain_RC12	domain_RC12	16
48	domain_RC13	domain_RC13	36
49	domain_RC14	domain_RC14	19
50	domain_RC15	domain_RC15	11
51	domain_RC16	domain_RC16	23
52	domain_RC17	domain_RC17	26
53	domain_RC18	domain_RC18	20
54	domain_RC19	domain_RC19	16
55	domain_RC20	domain_RC20	36
56	domain_RC21	domain_RC21	19
57	domain_RC22	domain_RC22	11
58	domain_RC23	domain_RC23	23
59	domain_RC24	domain_RC24	26
60	domain_RC25	domain_RC25	21
61	domain_RC26	domain_RC26	17
62	domain_RC27	domain_RC27	43
63	domain_RC28	domain_RC28	9
64	domain_RC29	domain_RC29	44
65	domain_RC30	domain_RC30	34
66	domain_RC31	domain_RC31	18
67	domain_RC32	domain_RC32	42
68	domain_RC33	domain_RC33	33
69	domain_RC34	domain_RC34	40
70	domain_RC35	domain_RC35	28
71	domain_RC36	domain_RC36	4
72	domain_RC37	domain_RC37	35
73	domain_RC38	domain_RC38	46
